S.No.,College,Role,City type,Previous CTC,Previous job changes,Graduation marks,Exp (Months),CTC
1279,Tier 1,Manager,Metro,52881,3,57,39,87630.9538
1280,Tier 3,Executive,Non-Metro,56763,3,38,25,58983.45586
1281,Tier 2,Executive,Non-Metro,61870,1,42,48,65467.75682
1282,Tier 3,Manager,Non-Metro,55180,2,73,47,79153.15173
1283,Tier 1,Manager,Non-Metro,50723,1,59,18,80841.084
1284,Tier 2,Executive,Metro,53125,1,42,18,60333.57108
1285,Tier 1,Manager,Metro,65519,3,55,61,117307.6988
1286,Tier 1,Executive,Non-Metro,54005,1,78,47,72128.85695
1287,Tier 1,Executive,Non-Metro,41862,2,41,28,65494.51133
1288,Tier 1,Executive,Non-Metro,52694,1,36,36,68185.42821
1289,Tier 1,Manager,Metro,66148,2,41,20,111739.6545
1290,Tier 2,Executive,Metro,64193,1,78,44,75081.9738
1291,Tier 1,Executive,Non-Metro,44023,3,53,38,62231.54372
1292,Tier 1,Manager,Metro,62788,4,55,19,89010.89926
1293,Tier 2,Executive,Metro,52880,1,64,21,60310.87935
1294,Tier 3,Executive,Metro,47404,4,66,46,68071.37069
1295,Tier 1,Executive,Metro,53042,3,83,58,84687.71582
1296,Tier 1,Executive,Metro,50887,4,37,20,63597.09005
1297,Tier 1,Executive,Metro,52604,3,82,18,75098.21571
1298,Tier 2,Executive,Non-Metro,53239,4,78,28,67381.60661
1299,Tier 3,Executive,Metro,51444,2,42,33,67500.55424
1300,Tier 3,Executive,Non-Metro,54855,3,53,19,60631.2339
1301,Tier 2,Manager,Metro,59883,4,40,45,119585.4895
1302,Tier 3,Manager,Metro,58204,4,36,62,101108.8555
1303,Tier 1,Executive,Non-Metro,50670,1,41,25,68130.71874
1304,Tier 1,Manager,Metro,53045,3,47,43,105077.7049
1305,Tier 1,Manager,Metro,47753,4,73,42,90597.18487
1306,Tier 2,Executive,Non-Metro,49240,2,67,24,60020.12679
1307,Tier 1,Manager,Non-Metro,47842,1,77,29,83103.7726
1308,Tier 3,Manager,Metro,49427,1,82,32,86755.79298
1309,Tier 1,Manager,Non-Metro,54876,3,82,25,90608.40514
1310,Tier 1,Executive,Metro,55179,4,54,41,72895.67263
1311,Tier 3,Executive,Metro,47650,2,49,42,72634.97876
1312,Tier 3,Executive,Non-Metro,52669,2,84,33,66633.05895
1313,Tier 1,Executive,Metro,64069,2,40,34,76812.81209
1314,Tier 1,Manager,Non-Metro,56004,1,69,19,92433.8827
1315,Tier 3,Manager,Non-Metro,46000,4,64,30,63148.61644
1316,Tier 1,Executive,Metro,50518,3,75,18,82046.22627
1317,Tier 1,Executive,Non-Metro,50130,2,40,19,54356.94539
1318,Tier 2,Executive,Metro,76070,2,54,18,58309.55542
1319,Tier 1,Executive,Metro,60495,3,47,35,84676.05262
1320,Tier 3,Executive,Non-Metro,50935,2,67,39,66054.38839
1321,Tier 3,Executive,Metro,60109,2,47,31,61396.47941
1322,Tier 1,Manager,Metro,55145,4,38,62,82190.51522
1323,Tier 2,Executive,Metro,62619,1,77,62,71767.67325
1324,Tier 2,Manager,Non-Metro,61299,4,72,42,103103.6449
1325,Tier 3,Executive,Metro,47058,4,53,31,62076.84769
1326,Tier 1,Executive,Metro,59344,1,64,61,84601.54125
1327,Tier 1,Executive,Non-Metro,61239,4,85,42,69545.8808
1328,Tier 2,Executive,Metro,57311,3,54,51,66931.93484
1329,Tier 1,Executive,Non-Metro,47080,4,66,23,84688.33049
1330,Tier 1,Executive,Metro,59189,4,45,52,82670.84974
1331,Tier 2,Executive,Non-Metro,46452,4,83,57,70993.96711
1332,Tier 1,Executive,Non-Metro,58254,4,42,23,73463.16278
1333,Tier 1,Executive,Non-Metro,72649,3,69,52,78861.45782
1334,Tier 3,Executive,Metro,59661,4,68,50,69712.40366
1335,Tier 1,Executive,Non-Metro,53714,1,67,18,69298.7501
1336,Tier 2,Executive,Non-Metro,61957,1,47,18,66397.77069
1337,Tier 1,Executive,Non-Metro,53203,3,69,21,64044.38295
1338,Tier 3,Manager,Non-Metro,51820,1,47,61,83346.06096
